YEAR,STATE_NAME,STATE_ABBREV,STATE_FIPS,opioid_dispensing_rate
2018,Rhode Island,RI,44.0,43.0
2019,Rhode Island,RI,44.0,40.4
2020,Rhode Island,RI,44.0,35.3
2021,Rhode Island,RI,44.0,33.5
2022,Rhode Island,RI,44.0,31.5
2023,Rhode Island,RI,44.0,30.5
2006,South Carolina,SC,45.0,90.4
2007,South Carolina,SC,45.0,91.7
2008,South Carolina,SC,45.0,94.1
2009,South Carolina,SC,45.0,95.8
2010,South Carolina,SC,45.0,98.6
2011,South Carolina,SC,45.0,96.8
2012,South Carolina,SC,45.0,104.0
2013,South Carolina,SC,45.0,103.0
2014,South Carolina,SC,45.0,101.3
2015,South Carolina,SC,45.0,95.1
2016,South Carolina,SC,45.0,89.4
2017,South Carolina,SC,45.0,79.8
2018,South Carolina,SC,45.0,69.2
2019,South Carolina,SC,45.0,60.6
2020,South Carolina,SC,45.0,57.7
2021,South Carolina,SC,45.0,55.2
2022,South Carolina,SC,45.0,51.5
2023,South Carolina,SC,45.0,48.4
2006,South Dakota,SD,46.0,50.0
2007,South Dakota,SD,46.0,49.9
2008,South Dakota,SD,46.0,52.1
2009,South Dakota,SD,46.0,52.3
2010,South Dakota,SD,46.0,54.0
2011,South Dakota,SD,46.0,55.1
2012,South Dakota,SD,46.0,60.1
2013,South Dakota,SD,46.0,60.6
2014,South Dakota,SD,46.0,61.7
2015,South Dakota,SD,46.0,59.1
2016,South Dakota,SD,46.0,54.8
2017,South Dakota,SD,46.0,48.8
2018,South Dakota,SD,46.0,42.6
2019,South Dakota,SD,46.0,44.0
2020,South Dakota,SD,46.0,40.2
2021,South Dakota,SD,46.0,39.1
2022,South Dakota,SD,46.0,37.5
2023,South Dakota,SD,46.0,35.8
2006,Tennessee,TN,47.0,124.8
2007,Tennessee,TN,47.0,128.8
2008,Tennessee,TN,47.0,132.9
2009,Tennessee,TN,47.0,138.4
2010,Tennessee,TN,47.0,140.0
2011,Tennessee,TN,47.0,138.5
2012,Tennessee,TN,47.0,136.1
2013,Tennessee,TN,47.0,127.1
2014,Tennessee,TN,47.0,121.3
2015,Tennessee,TN,47.0,114.9
2016,Tennessee,TN,47.0,107.5
2017,Tennessee,TN,47.0,95.2
2018,Tennessee,TN,47.0,81.8
2019,Tennessee,TN,47.0,74.7
2020,Tennessee,TN,47.0,68.2
2021,Tennessee,TN,47.0,66.0
2022,Tennessee,TN,47.0,61.5
2023,Tennessee,TN,47.0,58.6
2006,Texas,TX,48.0,66.8
2007,Texas,TX,48.0,71.2
2008,Texas,TX,48.0,71.3
2009,Texas,TX,48.0,71.8
2010,Texas,TX,48.0,73.0
2011,Texas,TX,48.0,72.0
2012,Texas,TX,48.0,73.4
2013,Texas,TX,48.0,70.0
2014,Texas,TX,48.0,67.0
2015,Texas,TX,48.0,59.8
2016,Texas,TX,48.0,57.6
2017,Texas,TX,48.0,52.2
2018,Texas,TX,48.0,47.2
2019,Texas,TX,48.0,42.3
2020,Texas,TX,48.0,38.2
2021,Texas,TX,48.0,36.0
2022,Texas,TX,48.0,33.9
2023,Texas,TX,48.0,32.2
2006,Utah,UT,49.0,87.0
2007,Utah,UT,49.0,89.8
2008,Utah,UT,49.0,91.3
2009,Utah,UT,49.0,86.9
2010,Utah,UT,49.0,86.6
2011,Utah,UT,49.0,85.2
2012,Utah,UT,49.0,84.5
2013,Utah,UT,49.0,82.1
2014,Utah,UT,49.0,78.8
2015,Utah,UT,49.0,74.4
2016,Utah,UT,49.0,70.4
2017,Utah,UT,49.0,63.8
2018,Utah,UT,49.0,57.1
2019,Utah,UT,49.0,51.7
2020,Utah,UT,49.0,48.1
2021,Utah,UT,49.0,48.0
2022,Utah,UT,49.0,46.3
2023,Utah,UT,49.0,43.8
2006,Virginia,VA,51.0,67.2
2007,Virginia,VA,51.0,70.1
2008,Virginia,VA,51.0,73.0
2009,Virginia,VA,51.0,74.1
2010,Virginia,VA,51.0,75.5
2011,Virginia,VA,51.0,76.6
2012,Virginia,VA,51.0,79.6
2013,Virginia,VA,51.0,76.6
2014,Virginia,VA,51.0,73.5
2015,Virginia,VA,51.0,68.1
2016,Virginia,VA,51.0,63.4
2017,Virginia,VA,51.0,53.3
2018,Virginia,VA,51.0,44.8
2019,Virginia,VA,51.0,40.9
2020,Virginia,VA,51.0,37.6
2021,Virginia,VA,51.0,36.3
2022,Virginia,VA,51.0,34.1
2023,Virginia,VA,51.0,32.5
2006,Vermont,VT,50.0,56.9
2007,Vermont,VT,50.0,56.0
2008,Vermont,VT,50.0,56.5
2009,Vermont,VT,50.0,54.5
2010,Vermont,VT,50.0,54.1
2011,Vermont,VT,50.0,53.6
2012,Vermont,VT,50.0,54.6
2013,Vermont,VT,50.0,52.2
2014,Vermont,VT,50.0,50.4
2015,Vermont,VT,50.0,60.1
2016,Vermont,VT,50.0,58.6
2017,Vermont,VT,50.0,50.0
2018,Vermont,VT,50.0,42.4
2019,Vermont,VT,50.0,36.9
2020,Vermont,VT,50.0,33.8
2021,Vermont,VT,50.0,32.5
2022,Vermont,VT,50.0,30.1
2023,Vermont,VT,50.0,27.9
2006,Washington,WA,53.0,80.8
2007,Washington,WA,53.0,84.4
2008,Washington,WA,53.0,86.6
2009,Washington,WA,53.0,86.1
2010,Washington,WA,53.0,85.0
2011,Washington,WA,53.0,81.6
2012,Washington,WA,53.0,78.7
2013,Washington,WA,53.0,75.2
2014,Washington,WA,53.0,74.2
2015,Washington,WA,53.0,69.8
2016,Washington,WA,53.0,64.9
2017,Washington,WA,53.0,57.1
2018,Washington,WA,53.0,49.3
2019,Washington,WA,53.0,42.8
2020,Washington,WA,53.0,39.5
2021,Washington,WA,53.0,38.5
2022,Washington,WA,53.0,36.2
2023,Washington,WA,53.0,34.5
2006,Wisconsin,WI,55.0,64.7
2007,Wisconsin,WI,55.0,69.2
2008,Wisconsin,WI,55.0,70.6
2009,Wisconsin,WI,55.0,71.9
2010,Wisconsin,WI,55.0,74.4
2011,Wisconsin,WI,55.0,75.2
2012,Wisconsin,WI,55.0,76.8
2013,Wisconsin,WI,55.0,73.8
2014,Wisconsin,WI,55.0,71.9
2015,Wisconsin,WI,55.0,67.5
2016,Wisconsin,WI,55.0,62.2
2017,Wisconsin,WI,55.0,52.7
2018,Wisconsin,WI,55.0,45.8
2019,Wisconsin,WI,55.0,42.6
2020,Wisconsin,WI,55.0,39.3
2021,Wisconsin,WI,55.0,38.3
2022,Wisconsin,WI,55.0,35.2
2023,Wisconsin,WI,55.0,32.8
2006,West Virginia,WV,54.0,129.9
2007,West Virginia,WV,54.0,135.1
2008,West Virginia,WV,54.0,145.5
2009,West Virginia,WV,54.0,146.9
2010,West Virginia,WV,54.0,143.1
2011,West Virginia,WV,54.0,139.6
2012,West Virginia,WV,54.0,136.9
2013,West Virginia,WV,54.0,129.0
2014,West Virginia,WV,54.0,126.4
2015,West Virginia,WV,54.0,111.3
2016,West Virginia,WV,54.0,96.0
2017,West Virginia,WV,54.0,82.2
2018,West Virginia,WV,54.0,69.3
2019,West Virginia,WV,54.0,59.6
2020,West Virginia,WV,54.0,53.7
2021,West Virginia,WV,54.0,52.3
2022,West Virginia,WV,54.0,48.1
2023,West Virginia,WV,54.0,46.4
2006,Wyoming,WY,56.0,79.9
2007,Wyoming,WY,56.0,80.8
2008,Wyoming,WY,56.0,81.0
2009,Wyoming,WY,56.0,81.0
2010,Wyoming,WY,56.0,80.4
2011,Wyoming,WY,56.0,78.2
2012,Wyoming,WY,56.0,80.5
2013,Wyoming,WY,56.0,81.5
2014,Wyoming,WY,56.0,80.9
2015,Wyoming,WY,56.0,75.4
2016,Wyoming,WY,56.0,71.1
2017,Wyoming,WY,56.0,64.4
2018,Wyoming,WY,56.0,57.1
2019,Wyoming,WY,56.0,49.9
2020,Wyoming,WY,56.0,47.2
2021,Wyoming,WY,56.0,45.7
2022,Wyoming,WY,56.0,44.0
2023,Wyoming,WY,56.0,43.0
